Date,nifty bank,axis_bank,bandhan_bank,au_bank,sbi_bank,bob_bank,idfc_bank,federal_bank,kotak_bank,hdfc_bank,icici_bank,pnb_bank,indusind_bank
02-01-2019,27297,623,553,307.5,299.1000061,123.5,43.20000076,93.19999695,1247.900024,1071.400024,361.5,79.55000305,1587.599976
03-01-2019,27181.59961,621.4000244,551,310.1000061,295,121.4000015,42.65000153,95.30000305,1240,1062.099976,365,78.09999847,1573
04-01-2019,26999.69922,612,534.25,310.5,292.1000061,120.4000015,43.09999847,93.25,1238,1057.625,361.8500061,78,1560.800049
07-01-2019,27378.65039,626,540,312.5,301.0499878,122.5,46,95.25,1250.949951,1063.849976,367.5,82.44999695,1561
08-01-2019,27301.90039,636,482,306.0499878,295.7999878,122.9000015,46.34999847,94.84999847,1243,1061,367.7999878,80.55000305,1563.150024
09-01-2019,27651.25,652.3499756,480,312,306,124.0999985,46.15000153,95.55000305,1237.349976,1059,381.6499939,82,1580
10-01-2019,27713.55078,668.9000244,452,316.3999939,305.1000061,122.5,46,97.19999695,1239,1058.5,380.9500122,80.30000305,1607.849976
11-01-2019,27602.80078,665,468.7999878,327.4249878,305.3999939,123.8000031,46.70000076,96.34999847,1225,1056.900024,380.6000061,81.25,1570
14-01-2019,27389.19922,663,453.6000061,326.8999939,301,120.9499969,47,94.40000153,1217,1054.949951,378.7000122,80.34999847,1509
15-01-2019,27317.55078,661.2999878,444.1499939,327.7000122,302,121.3000031,47.15000153,90.59999847,1217,1052.525024,373.5499878,82.84999847,1491
16-01-2019,27405.65039,660.7000122,453,331.5,303,121.0999985,47.25,91.25,1215.699951,1060.025024,372.0499878,82,1496
17-01-2019,27568.59961,669.9000244,450.7000122,325.75,303.8999939,121.5,48.75,91.90000153,1208,1062.625,376,84.30000305,1526.699951
18-01-2019,27550.05078,674.9000244,452,312.5,298.75,119.1999969,47.5,89,1220.099976,1067.5,374.6000061,84.55000305,1523.099976
21-01-2019,27514.55078,661.5499878,442,310,295.8999939,118.3000031,47.54999924,90.44999695,1240.699951,1069.974976,373,82.84999847,1511.300049
22-01-2019,27526.55078,656.3499756,425.8999939,302.5750122,293,116.4499969,46.25,89.30000305,1279,1073,370.5499878,80.19999695,1502
23-01-2019,27493.09961,659.5,409,297.625,290.4500122,114,46.90000153,89.80000305,1298.900024,1067,368.7999878,78.59999847,1497.150024
24-01-2019,27273.5,665,419,297.5,286.6499939,112,47.25,88.55000305,1274,1055,366.6000061,77.75,1492.199951
25-01-2019,27261.44922,665.2000122,418.5,291.4500122,289.6000061,113.3000031,47.20000076,89.09999847,1268.800049,1046.5,362.3500061,78.34999847,1496.300049
28-01-2019,27041.44922,669,424.8999939,292.5499878,285.6499939,111,46.70000076,86.69999695,1269,1045,353.2000122,77,1472.199951
29-01-2019,26616.25,658.5,415,297.5,281,109.5,45.40000153,84,1260,1039.125,342.9500122,76.15000153,1446
30-01-2019,26789.75,687.0499878,415,296.2000122,281.2000122,116.5,46.29999924,86.44999695,1255,1028.625,351,77.75,1465.900024
31-01-2019,26969.15039,697.25,410,295,290,114.4000015,45,87.19999695,1222,1015.5,372.7000122,77.69999695,1480
01-02-2019,27334.55078,720.75,404.5,292.7999878,296.8999939,113.4499969,45.29999924,86.44999695,1257.050049,1039.974976,364.5,78,1507.900024
04-02-2019,26974,711.2999878,409.6000061,289,282.3999939,110.0500031,44.75,86.34999847,1245,1047.5,351,74.05000305,1508.099976
05-02-2019,27226.05078,722,406,286.9500122,284.2000122,110.3000031,43.29999924,87.5,1276,1054,354.6000061,74.5,1504.849976
06-02-2019,27326.19922,731.2999878,421.8999939,294.5,285.8500061,108.5,42.20000076,87.34999847,1280,1058.125,353.6000061,74.09999847,1543.75
07-02-2019,27424.09961,726.25,446,300,289.3999939,109.4000015,42.34999847,85.75,1280,1062.525024,359.1000061,75.65000153,1525
08-02-2019,27302.65039,727,465,299,285.6000061,108,44.29999924,85.80000305,1284,1056,356.8999939,75,1512.900024
11-02-2019,27240.5,719.9000244,466,296.8999939,285.9500122,104.6999969,44.25,84.15000153,1296,1056.650024,354.6000061,71.40000153,1502.900024
12-02-2019,27166.90039,701,463.6000061,292.5,280.6499939,103.9000015,45.25,83.5,1300,1069,349,71.19999695,1512.099976
14-02-2019,26978,706,478.2999878,287.8250122,268,102.4000015,44.09999847,81.5,1302,1070,339.8500061,69.5,1491.900024
15-02-2019,27017.19922,700,479,288,268.8500061,104.25,44.79999924,80.59999847,1287.800049,1053.675049,344.0499878,72,1515.550049
18-02-2019,26754.59961,686,476,287.5499878,264.3999939,100.8499985,44.29999924,80.34999847,1281,1053.400024,342.2000122,70.25,1509.5
19-02-2019,26666.55078,693.2999878,466,286.25,260.8999939,99.80000305,42.84999847,80.5,1277,1044.849976,339.1000061,69.30000305,1512
20-02-2019,26786,697.5999756,476.2000122,283,264.5,102.5,43.84999847,79.80000305,1281.300049,1044.25,345,70.40000153,1480
21-02-2019,26994.75,700.5,479,284.9500122,270.2999878,104.5,44.84999847,80,1291.900024,1050.849976,346.7999878,76,1479.449951
22-02-2019,26960.05078,697.4500122,489.0499878,290.0750122,267.8999939,103.0500031,45.09999847,79.59999847,1251,1059.699951,351.3999939,72.94999695,1474
25-02-2019,26934.19922,702.9000244,486,287,271.2999878,102.75,45.90000153,79.94999695,1243.400024,1047.574951,353.0499878,73.40000153,1465.050049
26-02-2019,26853.80078,694,466.2000122,284.7250061,266.7999878,102.3000031,45.09999847,80.5,1224,1055.625,350,72.80000305,1480
27-02-2019,27078.09961,714.9500122,483.7999878,286.4249878,268,101.75,45.90000153,82,1238,1058.050049,351,72.5,1482.050049
28-02-2019,26878,723.4500122,479,287,267.7000122,101.1999969,45.29999924,81.69999695,1213.199951,1046.550049,348.4500122,71.55000305,1487.75
01-03-2019,26941,713.5,484.5,288.3250122,270.5499878,102,45.25,84.19999695,1221.699951,1043.125,352.0499878,73,1481.699951
05-03-2019,27068.15039,705.7000122,483,286.4500122,271.7000122,108.5,47.90000153,85.69999695,1223.900024,1044.449951,355,77,1510
06-03-2019,27618.09961,733.9000244,493,289,277.2999878,112.5,51.45000076,89,1242.099976,1055,365.25,82.69999695,1537.5
07-03-2019,27661,720.75,506,297.2999878,279.4500122,112,49.90000153,87.5,1244,1054.800049,371.5,82.44999695,1534.900024
08-03-2019,27686.15039,732,495,290.8500061,281.8500061,115.6500015,48.75,87.84999847,1237,1057.525024,369.7999878,85.34999847,1529
11-03-2019,27840.09961,733.2999878,507.9500122,291.5499878,285.2999878,114.5,49.15000153,87.75,1238,1066,371.7999878,84.09999847,1520.900024
12-03-2019,28168.19922,738.7000122,513.9000244,292.5,289.2000122,116.9499969,50.54999924,91.90000153,1260.449951,1073.5,378,86.75,1526
13-03-2019,28480.30078,743.5999756,523.9000244,293.3999939,288.1000061,115.75,49.75,90.30000305,1263.5,1087.5,387.8999939,85.19999695,1574.900024
14-03-2019,29028.90039,740,518,304.4750061,294.5,116,50,91.5,1263,1122.425049,392,85.05000305,1649
15-03-2019,29007,742.9500122,516.8499756,298,292.6000061,116.4000015,50.84999847,90.15000153,1271.900024,1115.5,388.8500061,85.30000305,1686
18-03-2019,29521.59961,741,508,305.3999939,298.8999939,118.25,52.5,91.59999847,1340,1130.949951,396.25,86.44999695,1708
19-03-2019,29702.59961,755,493,296.8999939,300.1499939,121.1999969,52.5,91.69999695,1350,1134.75,398.3999939,87.65000153,1730
20-03-2019,29769.65039,760.75,502,292.2250061,302.7999878,125.1500015,52.70000076,93.75,1349.099976,1134.5,397.6000061,91,1729
22-03-2019,29920.75,764.7000122,500.5,285.5,304.2999878,126.0500031,52.59999847,92.80000305,1354.699951,1150,394.4500122,95.94999695,1715
25-03-2019,29329.40039,752.7000122,498,279,294,118.9000015,52.5,89.75,1325.949951,1130,387.9500122,89.55000305,1682.099976
26-03-2019,29300.40039,747.4000244,492,277.5,294.75,119.0999985,52,88.90000153,1312.25,1137.949951,384.9500122,91.19999695,1681
27-03-2019,30034.15039,761.2999878,490,277.5499878,305.25,122.4000015,52.95000076,91.09999847,1349.949951,1159.275024,395.3999939,93.5,1730
28-03-2019,30064.80078,761.0999756,496.7999878,289,310.1000061,121.75,53.40000153,92,1338,1149.400024,392.75,93.90000153,1812.5
01-04-2019,30537.59961,780.9500122,528.5,299.2999878,321.7999878,133,55.90000153,96.94999695,1336,1162.625,401.4500122,96.09999847,1797
02-04-2019,30450.09961,769.1500244,532.7999878,295.0249939,323.6499939,133.6999969,56.25,98.30000305,1344,1160,400,97.65000153,1754.650024
03-04-2019,30440.84961,770,532.0999756,306.5,331,134.3999939,55.29999924,97.59999847,1342,1146.050049,399,99.40000153,1784
04-04-2019,30147.30078,763,551,300.5,321.5,133.1999969,54.5,95,1337.400024,1146.375,394.3999939,94,1773.599976
05-04-2019,30002.84961,763.9500122,546,300.1000061,323.7000122,131.9499969,54.40000153,95.44999695,1330,1143.900024,389.25,94.30000305,1748
08-04-2019,30201.5,764.2999878,549.3499756,298.8500061,318.25,131.3000031,54.5,99.44999695,1341,1159.5,391.4500122,93.75,1768.900024
09-04-2019,29901.5,755,548,293.5,313.9500122,130.3999939,54.15000153,97.30000305,1339.949951,1148.300049,387.3999939,93.19999695,1758
10-04-2019,29916.59961,761.25,551.8499756,292.7000122,314.8500061,131.9499969,54.40000153,97.69999695,1338.050049,1125,395.5499878,94,1766.050049
11-04-2019,29841.84961,760.5,543,292,311,129.5500031,54.70000076,97.69999695,1349.699951,1122.449951,394.5,93.40000153,1748.900024
12-04-2019,29780.55078,753.4000244,540,293.5,314.6000061,128.6999969,54.40000153,96.59999847,1343.199951,1126.050049,390.6000061,92.80000305,1743.5
15-04-2019,29983.5,764,535,295.9500122,315.5,131.3999939,54.20000076,96.94999695,1348,1135,394.2000122,93.80000305,1743.5
16-04-2019,30236.25,765.0999756,535,297.5,316.6000061,131.1000061,53.75,97.75,1382.400024,1145.474976,397.5,93.5,1753.900024
18-04-2019,30656.5,778.4000244,563,302,315.7999878,130.8500061,53.90000153,98,1386.400024,1156.5,411,92.55000305,1816
22-04-2019,30282.5,768.9000244,566,312.25,308.7999878,126.0500031,52.90000153,96,1360,1162.5,404.25,89.90000153,1759
23-04-2019,29761.94922,757.4500122,566.9000244,309.4750061,310.0499878,123.8000031,51.75,95.30000305,1357.949951,1138.775024,396.1000061,86.55000305,1691
